category,group,filename,split,boxes
Cyst,Group 1,Cyst- (36).jpg,test,2
Cyst,Group 1,Cyst- (45).jpg,test,2
Cyst,Group 10,Cyst- (313).jpg,test,2
Cyst,Group 10,Cyst- (319).jpg,test,2
Cyst,Group 13,Cyst- (397).jpg,test,2
Cyst,Group 13,Cyst- (402).jpg,test,2
Cyst,Group 14,Cyst- (423).jpg,test,2
Cyst,Group 14,Cyst- (436).jpg,test,2
Cyst,Group 27,Cyst- (1000).jpg,test,2
Cyst,Group 27,Cyst- (1008).jpg,test,2
Cyst,Group 28,Cyst- (1022).jpg,test,2
Cyst,Group 28,Cyst- (1027).jpg,test,2
Cyst,Group 30,Cyst- (1053).jpg,test,1
Cyst,Group 31,Cyst- (1111).jpg,test,2
Cyst,Group 31,Cyst- (1156).jpg,test,2
Cyst,Group 34,Cyst- (1476).jpg,test,2
Cyst,Group 34,Cyst- (1491).jpg,test,2
Cyst,Group 51,Cyst- (2624).jpg,test,2
Cyst,Group 51,Cyst- (2648).jpg,test,2
Cyst,Group 62,Cyst- (3184).jpg,test,2
Cyst,Group 62,Cyst- (3209).jpg,test,1
Cyst,Group 78,Cyst- (3659).jpg,test,2
Cyst,Group 78,Cyst- (3666).jpg,test,2
Normal,Group 18,Normal- (2068).jpg,test,2
Normal,Group 18,Normal- (2084).jpg,test,1
Normal,Group 18,Normal- (2100).jpg,test,1
Normal,Group 2,Normal- (261).jpg,test,2
Normal,Group 2,Normal- (294).jpg,test,2
Normal,Group 2,Normal- (327).jpg,test,2
Normal,Group 25,Normal- (2757).jpg,test,1
Normal,Group 25,Normal- (2784).jpg,test,2
Normal,Group 25,Normal- (2812).jpg,test,2
Normal,Group 25,Normal- (2839).jpg,test,2
Normal,Group 37,Normal- (4105).jpg,test,2
Normal,Group 37,Normal- (4122).jpg,test,2
Normal,Group 37,Normal- (4139).jpg,test,2
Normal,Group 38,Normal- (4188).jpg,test,2
Normal,Group 38,Normal- (4220).jpg,test,2
Normal,Group 38,Normal- (4251).jpg,test,2
Normal,Group 42,Normal- (4588).jpg,test,2
Normal,Group 42,Normal- (4605).jpg,test,2
Normal,Group 42,Normal- (4622).jpg,test,2
Normal,Group 43,Normal- (4655).jpg,test,2
Normal,Group 43,Normal- (4671).jpg,test,2
Normal,Group 43,Normal- (4688).jpg,test,2
Normal,Group 47,Normal- (5037).jpg,test,2
Normal,Group 47,Normal- (5050).jpg,test,2
Normal,Group 47,Normal- (5064).jpg,test,2
Stone,Group 12,Stone- (202).jpg,test,2
Stone,Group 12,Stone- (203).jpg,test,2
Stone,Group 2,Stone- (41).jpg,test,2
Stone,Group 2,Stone- (48).jpg,test,2
Stone,Group 2,Stone- (56).jpg,test,2
Stone,Group 31,Stone- (733).jpg,test,2
Stone,Group 31,Stone- (736).jpg,test,2
Stone,Group 33,Stone- (761).jpg,test,2
Stone,Group 33,Stone- (765).jpg,test,2
Stone,Group 35,Stone- (811).jpg,test,2
Stone,Group 35,Stone- (816).jpg,test,2
Stone,Group 35,Stone- (820).jpg,test,2
Stone,Group 44,Stone- (940).jpg,test,2
Stone,Group 44,Stone- (945).jpg,test,2
Stone,Group 44,Stone- (950).jpg,test,2
Stone,Group 47,Stone- (984).jpg,test,2
Stone,Group 47,Stone- (985).jpg,test,2
Stone,Group 50,Stone- (1013).jpg,test,2
Stone,Group 50,Stone- (1014).jpg,test,2
Stone,Group 54,Stone- (1148).jpg,test,2
Stone,Group 54,Stone- (1174).jpg,test,2
Stone,Group 54,Stone- (1201).jpg,test,2
Stone,Group 9,Stone- (160).jpg,test,2
Stone,Group 9,Stone- (161).jpg,test,2
Tumor,Group 16,Tumor- (1493).jpg,test,1
Tumor,Group 16,Tumor- (1508).jpg,test,1
Tumor,Group 16,Tumor- (1524).jpg,test,2
Tumor,Group 16,Tumor- (1539).jpg,test,2
Tumor,Group 16,Tumor- (1555).jpg,test,2
Tumor,Group 16,Tumor- (1571).jpg,test,2
Tumor,Group 17,Tumor- (1642).jpg,test,2
Tumor,Group 17,Tumor- (1668).jpg,test,2
Tumor,Group 17,Tumor- (1695).jpg,test,2
Tumor,Group 17,Tumor- (1721).jpg,test,2
Tumor,Group 17,Tumor- (1748).jpg,test,2
Tumor,Group 17,Tumor- (1774).jpg,test,2
Tumor,Group 18,Tumor- (1830).jpg,test,2
Tumor,Group 18,Tumor- (1836).jpg,test,2
Tumor,Group 18,Tumor- (1842).jpg,test,2
Tumor,Group 18,Tumor- (1848).jpg,test,2
Tumor,Group 18,Tumor- (1854).jpg,test,2
Tumor,Group 18,Tumor- (1860).jpg,test,2
Tumor,Group 20,Tumor- (1933).jpg,test,2
Tumor,Group 20,Tumor- (1937).jpg,test,2
Tumor,Group 20,Tumor- (1942).jpg,test,2
Tumor,Group 20,Tumor- (1947).jpg,test,2
Tumor,Group 20,Tumor- (1952).jpg,test,2
Tumor,Group 20,Tumor- (1957).jpg,test,2
Cyst,Group 0,Cyst- (10).jpg,train,2
Cyst,Group 0,Cyst- (18).jpg,train,2
Cyst,Group 11,Cyst- (343).jpg,train,2
Cyst,Group 11,Cyst- (356).jpg,train,2
Cyst,Group 12,Cyst- (379).jpg,train,2
Cyst,Group 12,Cyst- (384).jpg,train,2
Cyst,Group 15,Cyst- (459).jpg,train,2
Cyst,Group 15,Cyst- (464).jpg,train,2
Cyst,Group 16,Cyst- (477).jpg,train,2
Cyst,Group 16,Cyst- (482).jpg,train,2
Cyst,Group 18,Cyst- (579).jpg,train,2
Cyst,Group 18,Cyst- (591).jpg,train,2
Cyst,Group 19,Cyst- (622).jpg,train,2
Cyst,Group 19,Cyst- (634).jpg,train,2
Cyst,Group 2,Cyst- (59).jpg,train,2
Cyst,Group 2,Cyst- (63).jpg,train,2
Cyst,Group 20,Cyst- (657).jpg,train,2
Cyst,Group 20,Cyst- (664).jpg,train,2
Cyst,Group 21,Cyst- (677).jpg,train,1
Cyst,Group 22,Cyst- (688).jpg,train,2
Cyst,Group 22,Cyst- (691).jpg,train,2
Cyst,Group 23,Cyst- (703).jpg,train,2
Cyst,Group 24,Cyst- (757).jpg,train,2
Cyst,Group 24,Cyst- (799).jpg,train,2
Cyst,Group 25,Cyst- (848).jpg,train,2
Cyst,Group 26,Cyst- (899).jpg,train,2
Cyst,Group 26,Cyst- (942).jpg,train,2
Cyst,Group 3,Cyst- (70).jpg,train,2
Cyst,Group 33,Cyst- (1393).jpg,train,2
Cyst,Group 33,Cyst- (1422).jpg,train,2
Cyst,Group 35,Cyst- (1529).jpg,train,2
Cyst,Group 35,Cyst- (1544).jpg,train,2
Cyst,Group 36,Cyst- (1567).jpg,train,2
Cyst,Group 36,Cyst- (1571).jpg,train,2
Cyst,Group 37,Cyst- (1582).jpg,train,2
Cyst,Group 38,Cyst- (1607).jpg,train,2
Cyst,Group 38,Cyst- (1623).jpg,train,2
Cyst,Group 40,Cyst- (1702).jpg,train,2
Cyst,Group 40,Cyst- (1715).jpg,train,2
Cyst,Group 41,Cyst- (1797).jpg,train,2
Cyst,Group 41,Cyst- (1855).jpg,train,2
Cyst,Group 42,Cyst- (1946).jpg,train,2
Cyst,Group 42,Cyst- (1967).jpg,train,2
Cyst,Group 43,Cyst- (2047).jpg,train,2
Cyst,Group 43,Cyst- (2093).jpg,train,2
Cyst,Group 44,Cyst- (2197).jpg,train,2
Cyst,Group 44,Cyst- (2239).jpg,train,2
Cyst,Group 45,Cyst- (2301).jpg,train,2
Cyst,Group 45,Cyst- (2312).jpg,train,2
Cyst,Group 46,Cyst- (2339).jpg,train,2
Cyst,Group 46,Cyst- (2350).jpg,train,2
Cyst,Group 47,Cyst- (2372).jpg,train,2
Cyst,Group 47,Cyst- (2378).jpg,train,2
Cyst,Group 48,Cyst- (2400).jpg,train,2
Cyst,Group 48,Cyst- (2410).jpg,train,2
Cyst,Group 49,Cyst- (2451).jpg,train,2
Cyst,Group 49,Cyst- (2473).jpg,train,2
Cyst,Group 5,Cyst- (187).jpg,train,2
Cyst,Group 5,Cyst- (208).jpg,train,2
Cyst,Group 50,Cyst- (2534).jpg,train,2
Cyst,Group 50,Cyst- (2562).jpg,train,2
Cyst,Group 52,Cyst- (2703).jpg,train,2
Cyst,Group 52,Cyst- (2724).jpg,train,2
Cyst,Group 53,Cyst- (2770).jpg,train,2
Cyst,Group 53,Cyst- (2787).jpg,train,2
Cyst,Group 54,Cyst- (2845).jpg,train,2
Cyst,Group 54,Cyst- (2879).jpg,train,2
Cyst,Group 56,Cyst- (2991).jpg,train,2
Cyst,Group 56,Cyst- (2995).jpg,train,2
Cyst,Group 57,Cyst- (3004).jpg,train,2
