epoch,train_loss,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate_group_0,learning_rate_group_1
01,0.6620,0.6590,0.5784,0.8124,0.6892,1.00e-03,
02,0.4463,0.7862,0.5359,0.8076,0.7150,1.00e-03,
03,0.3857,0.8232,0.5015,0.8145,0.7265,1.00e-03,
04,0.3549,0.8283,0.4821,0.8372,0.7518,1.00e-03,
05,0.3426,0.8443,0.4761,0.8404,0.7739,1.00e-03,
06,0.3203,0.8527,0.4492,0.8525,0.7776,1.00e-03,
07,0.3149,0.8557,0.4612,0.8420,0.7527,1.00e-03,
08,0.3077,0.8542,0.4688,0.8478,0.7716,1.00e-03,
09,0.3034,0.8581,0.4562,0.8467,0.7602,5.00e-04,
10,0.3013,0.8547,0.4357,0.8525,0.7877,5.00e-04,
11,0.2842,0.8685,0.4711,0.8515,0.7837,5.00e-04,
12,0.2923,0.8659,0.4678,0.8441,0.7732,5.00e-04,
13,0.2809,0.8680,0.4677,0.8462,0.7751,2.50e-04,
14,0.2759,0.8679,0.4257,0.8636,0.7966,2.50e-04,
15,0.2728,0.8722,0.4511,0.8599,0.8000,2.50e-04,
16,0.2725,0.8763,0.4418,0.8594,0.7910,2.50e-04,
17,0.2768,0.8677,0.4380,0.8584,0.7931,2.50e-04,
18,0.2753,0.8707,0.4446,0.8552,0.7815,1.25e-04,
19,0.2690,0.8766,0.4502,0.8520,0.7859,1.25e-04,
20,0.2851,0.8636,0.4703,0.8436,0.7799,1.25e-04,
