epoch,train_loss,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate_group_0,learning_rate_group_1
01,0.2426,0.9076,0.3798,0.8842,0.8471,0.001,
02,0.0971,0.9655,0.3559,0.8975,0.8634,0.001,
03,0.0759,0.9731,0.3754,0.8964,0.8658,0.001,
04,0.0615,0.9778,0.3964,0.8911,0.8569,0.001,
05,0.0515,0.9821,0.4643,0.8753,0.8358,0.001,
06,0.0475,0.9823,0.4209,0.8922,0.8611,0.0005,
07,0.0425,0.9835,0.3867,0.8990,0.8706,0.0005,
08,0.0383,0.9877,0.4043,0.9017,0.8739,0.0005,
09,0.0369,0.9854,0.3844,0.9064,0.8800,0.0005,
10,0.0372,0.9853,0.4197,0.9006,0.8731,0.0005,
11,0.0334,0.9880,0.4161,0.9017,0.8741,0.0005,
12,0.0327,0.9887,0.4077,0.9043,0.8765,0.00025,
13,0.0309,0.9889,0.4109,0.9022,0.8743,0.00025,
14,0.0281,0.9909,0.3924,0.9049,0.8782,0.00025,
15,0.0304,0.9880,0.3985,0.9059,0.8772,0.000125,
